:END_ID(Level1),:START_ID(Dataset)
6562615458003937676,8679887469901490430
8718159641318116881,5778523190829012621
2852353521781619879,5778523190829012621
5617732558632344692,5778523190829012621
4987723838217720102,5778523190829012621
-1240519907351841492,1019022409013063841
8546779124120257077,1019022409013063841
-9129798105605433475,1019022409013063841
-5875012309636740718,1019022409013063841
-3827270768515698131,1019022409013063841
-8381305834450886645,1019022409013063841
208670581369221834,1019022409013063841
4518381626441677406,1019022409013063841
-6730514149266921565,1019022409013063841
-3615959202965533499,1019022409013063841
7672247025617788208,1019022409013063841
5858909270858523448,1019022409013063841
6342957958161589016,1019022409013063841
-5266835041610742503,1019022409013063841
5153288291320229461,1019022409013063841
-3620323044481994030,1019022409013063841
-5691715412363675929,1019022409013063841
-946802153346525935,1019022409013063841
903206726209397356,1019022409013063841
5080118343428015041,1019022409013063841
2942063667274907482,1019022409013063841
1396931892714027524,1019022409013063841
-8274114069003418295,1019022409013063841
-3996232095371708227,1019022409013063841
-3570832145217922054,1019022409013063841
2400939947494366499,1019022409013063841
-433210121529706836,1019022409013063841
-3684966572367442422,1019022409013063841
-8171587215533799986,1019022409013063841
-3879194953156935810,1019022409013063841
-1920513316225025748,1019022409013063841
-1846536642549542120,1019022409013063841
-7265673889945980597,1019022409013063841
7723184588293846681,1019022409013063841
394265044576176709,1019022409013063841
-8715437070019805620,1019022409013063841
-2091454160001214599,1019022409013063841
728933656629606126,1019022409013063841
3090947004500294578,1019022409013063841
7959106081702650101,1019022409013063841
-7327195814001938652,1019022409013063841
-2371110934216502367,1019022409013063841
-4292321091966121705,1019022409013063841
4895088402298500549,1019022409013063841
-1284825211297365135,1019022409013063841
-1622361869318242579,1019022409013063841
4212653166734127716,1019022409013063841
-626102929714037990,1019022409013063841
-1463088236992554752,1019022409013063841
-7709896423770433607,1019022409013063841
3768098757106214576,1019022409013063841
-8449188906591829618,1019022409013063841
6549322586566069352,1019022409013063841
1979893774559708236,1019022409013063841
-5133761932269595627,1019022409013063841
725973135391174311,1019022409013063841
8734350278363028315,1019022409013063841
